QueryID,Tables,lpbound_Estimate
134,MI T,660922.9999999993
134,MK T,5916.000000000001
134,MI MK,158039.23412874417
134,MI MK T,158039.23412874417
135,MI T,2069516.9999999925
135,MK T,132.00000000000009
135,MI MK,120205.49984505685
135,MI MK T,40066.172632635265
136,MI T,3963336.0000000023
136,MK T,328.0
136,MI MK,222056.46775088544
136,MI MK T,26592.22763581624
137,MI T,522217.00000000047
137,MK T,132.00000000000009
137,MI MK,23696.088010471263
137,MI MK T,23696.088010471292
138,MI T,13697.999999999982
138,MK T,108791.99999999993
138,MI MK,1693920.4169198289
138,MI MK T,175368.53793958985
139,MI T,8301049.0000000065
139,MK T,2886675.0
139,MI MK,370148895.2568964
139,MI MK T,316395311.68192166
140,MI T,598457.0000000003
140,MK T,132.00000000000009
140,MI MK,39005.16076424202
140,MI MK T,14205.870096052538
141,MI T,3611.9999999999986
141,MK T,214.43135388539957
141,MI MK,1365132.7679079373
141,MI MK T,5385.8539005528755
142,MI T,368217.9999999999
142,MK T,2886675.0
142,MI MK,40322990.92051744
142,MI MK T,36911166.32918215
143,MI T,1022.0
143,MK T,127.99999999999991
143,MI MK,9108.945121211955
143,MI MK T,1021.9999999999987
144,MI T,6422.000000000011
144,MK T,616457.0000000007
144,MI MK,1696444.2849141501
144,MI MK T,949333.515952263
145,MI T,147487.00000000012
145,MK T,132.00000000000009
145,MI MK,20785.81503563982
145,MI MK T,20785.81503563982
146,MI T,243162.9581992284
146,MK T,72496.00000000001
146,MI MK,168642.81457919115
146,MI MK T,168642.8145791916
147,MI T,419.75053431200797
147,MK T,529.0000000000008
147,MI MK,1693920.4169198289
147,MI MK T,1782.8280673291247
148,MI T,1200.0000000000005
148,MK T,359.0
148,MI MK,370148895.2568964
148,MI MK T,15816.23393940384
149,MI T,30179.999999999975
149,MK T,2212.0000000000036
149,MI MK,25327.542794357323
149,MI MK T,25327.542794357356
150,MI T,3016.6211186509518
150,MK T,128.0
