QueryID,safebound_Estimate,safebound_InferenceTime
293,260027136.0000001,2.225
294,1335602895.3678868,2.339
295,16858579.880004335,3.033
296,694082462.6989042,5.597
297,3259872.0,2.323
298,53026978.99999999,2.117
299,575767835.0000001,4.268
300,576738404.2967113,3.5820000000000003
301,300897837.6581213,2.447
302,42137174486.58368,2.879
303,298551.7166216575,4.704
304,1112218218.814321,3.019
305,5730796.199672667,1.305
306,226826511.46266115,3.8310000000000004
307,1474976119.4633288,3.435
308,784528.0000000002,4.1739999999999995
309,2065919.2034166527,5.07
310,2138420.184729095,5.116
311,5963980.000000002,2.31
312,89049374.05371729,4.066
313,228000628.08593228,3.399
314,17661960.000000007,3.105
315,21042869.74693644,1.294
316,842476.1988423653,3.5140000000000002
317,3543931.4289741847,4.708
318,83986385.63806418,2.068
319,5429402296.773599,1.702
320,1143731189.2752254,3.191
321,40750466.58243894,1.562
322,5846378.412587922,4.673
323,75796055.97599858,1.224
324,4572544.0,1.5759999999999998
325,120868156.95230304,2.747
326,1973853359.3645463,1.867
327,1430778518.4505572,2.0820000000000003
328,1116035.5750000011,3.371
329,1859777502.334638,6.224
330,267420437285.4741,1.608
331,126934337057.47656,3.197
332,1803705724277.4917,4.772
333,1605342175058.332,2.617
334,6391613280.728215,3.049
335,181162732884.4269,3.0309999999999997
336,11168539634.0,2.813
337,1612549664.353526,4.969
338,5302462469.164358,4.13
339,1099963202926.4705,5.146000000000001
340,2507757534.9999995,4.181
341,1345038286.169981,2.765
342,949916449156.4327,3.2729999999999997
343,11807151396.565144,3.4250000000000003
344,81313002297.356,3.025
345,1922627858010.3096,2.3
346,12862843271.50944,5.679
347,1296714221.9029417,2.7560000000000002
348,26767460883.465366,4.24
349,446671169.2156556,5.101999999999999
350,245162005.9172561,4.463
351,407492237.2832326,4.995
352,94270918.23462936,2.942
353,89335049729.25955,3.613
354,8266103.999999999,3.576
355,123883950.78889754,1.2329999999999999
356,15266832039.83052,4.221
357,41443507074.85536,1.6139999999999999
358,52201294.014227904,3.8939999999999997
359,23668115.92146421,4.306
360,697486822.6745114,1.471
361,216247127.0000001,2.612
362,1638254956.374213,2.931
363,2970065.1111111115,2.467
364,811727559.25618,2.758
365,21085570.80184447,1.84
366,13970879.999999996,1.9719999999999998
367,15850967472.000008,3.095
368,38389379.78896119,2.519
369,118236460.03366695,2.63
370,8579472007.128626,5.117
371,10656945469.83705,2.9250000000000003
372,34444185.999999985,2.843
373,3531298.416505057,5.044
374,656657884.1296645,3.021
375,2841290914.244302,4.211
376,947104.0,2.274
377,473824648.93234617,2.075
378,15166833.923076926,4.706
379,34678.55676677539,4.278
380,1031390.7586313058,4.248
381,6323.051266666668,3.69
382,4381.558055504402,3.875
383,65219539.63299302,2.769
384,18448.5075047101,3.04
385,378767.0,2.0309999999999997
386,490621103.4549176,2.2430000000000003
387,1247305.9999999995,2.0010000000000003
388,390651.7636666666,2.457
389,1034508.0,2.111
390,40977.40520817154,3.248
391,25543.377689639445,1.908
392,72395.3843430816,3.8240000000000003
393,416152.9741707955,1.6260000000000001
394,400475.0476224101,2.319
395,7973598.000000004,3.009
396,2270180.0,2.2529999999999997
397,63533.54239714342,2.612
398,62729.235141786856,3.863
399,75139.18562505819,2.884
