QueryID,Tables,safebound_Estimate,safebound_InferenceTime
11,ML MC CT,1587472.440764594,0.221
11,ML MC CN,1587472.440764594,0.23399999999999999
11,T MK K,4523930.0,0.25999999999999995
11,T MK MC,59690670.15110543,0.24899999999999997
11,T MC CT,2609128.9999999995,0.214
11,T MC CN,2609129.0,0.23800000000000002
11,K MK MC,59690670.15110544,0.27599999999999997
11,MK MC CT,59690670.15110543,0.237
11,CN MK MC,59690670.15110543,0.265
11,CN MC CT,2609129.0,0.221
11,LT ML T MK,9059099.628372625,0.312
11,LT ML T MC,1587472.4407645937,0.304
11,LT ML MK K,9059099.628372625,0.393
11,LT ML MK MC,588515458.5611701,0.331
11,LT ML MC CT,1587472.4407645937,0.35
11,LT ML MC CN,1587472.4407645937,0.377
11,ML T MK K,9059099.62837262,0.4
11,ML T MK MC,588515458.5611701,0.298
11,ML T MC CT,1587472.440764594,0.345
11,ML T MC CN,1587472.440764594,0.372
11,ML MK K MC,588515458.5611701,0.414
11,ML MK MC CT,588515458.5611701,0.36900000000000005
11,ML MK MC CN,588515458.5611701,0.4
11,ML MC CT CN,1587472.440764594,0.31
11,T MK K MC,59690670.15110543,0.416
11,T MK MC CT,59690670.15110543,0.368
11,T MK MC CN,59690670.15110543,0.398
11,T MC CT CN,2609129.0,0.324
11,MK K MC CT,59690670.15110544,0.4
11,MK K MC CN,59690670.15110544,0.426
11,MK MC CT CN,59690670.15110543,0.34
11,LT ML T MK K,9059099.628372625,0.486
11,LT ML T MK MC,588515458.5611701,0.378
11,LT ML T MC CT,1587472.4407645937,0.425
11,LT ML T MC CN,1587472.4407645937,0.458
11,LT ML MK K MC,588515458.5611701,0.501
11,LT ML MK MC CT,588515458.5611701,0.45899999999999996
11,LT ML MK MC CN,588515458.5611701,0.48700000000000004
11,LT ML MC CT CN,1587472.4407645937,0.447
11,ML T MK K MC,588515458.5611701,0.467
11,ML T MK MC CT,588515458.5611701,0.421
11,ML T MK MC CN,588515458.5611701,0.451
11,ML T MC CT CN,1587472.440764594,0.44499999999999995
11,ML MK K MC CT,588515458.5611701,0.524
11,ML MK K MC CN,588515458.5611701,0.5609999999999999
11,ML MK MC CT CN,588515458.5611701,0.48000000000000004
11,T MK K MC CT,59690670.15110543,0.5199999999999999
11,T MK K MC CN,59690670.15110543,0.549
11,T MK MC CT CN,59690670.15110543,0.472
11,MK K MC CT CN,59690670.15110544,0.49700000000000005
11,LT ML T MK K MC,588515458.5611701,0.555
11,LT ML T MK MC CT,588515458.5611701,0.515
11,LT ML T MK MC CN,588515458.5611701,0.5429999999999999
11,LT ML T MC CT CN,1587472.4407645937,0.5289999999999999
11,LT ML MK K MC CT,588515458.5611701,0.609
11,LT ML MK K MC CN,588515458.5611701,0.641
11,LT ML MK MC CT CN,588515458.5611701,0.5599999999999999
11,ML T MK K MC CT,588515458.5611701,0.58
11,ML T MK K MC CN,588515458.5611701,0.614
11,ML T MK MC CT CN,588515458.5611701,0.5289999999999999
11,ML MK K MC CT CN,588515458.5611701,0.636
11,T MK K MC CT CN,59690670.15110543,0.624
11,LT ML T MK K MC CT,588515458.5611701,0.662
11,LT ML T MK K MC CN,588515458.5611701,0.6930000000000001
11,LT ML T MK MC CT CN,588515458.5611701,0.618
11,LT ML MK K MC CT CN,588515458.5611701,0.712
11,ML T MK K MC CT CN,588515458.5611701,0.68
11,LT ML T MK K MC CT CN,588515458.5611701,0.764
12,T MI,14835720.0,0.195
12,T MI_IDX,1380035.0,0.127
12,T MC,2609129.0,0.149
12,MI_IDX MI,30725458.2079138,0.14100000000000001
12,IT1 MI,14835720.0,0.132
12,MC MI,92102477.77275825,0.171
12,IT2 MI_IDX,1380035.0,0.115
12,MC MI_IDX,6235545.218141137,0.13699999999999998
12,MC CT,2609129.0,0.114
12,CN MC,2609129.0,0.136
12,T MI_IDX MI,30725458.2079138,0.22
12,T IT1 MI,14835720.0,0.241
12,T MC MI,92102477.77275825,0.253
12,T IT2 MI_IDX,1380035.0,0.16699999999999998
12,T MC MI_IDX,6235545.218141137,0.201
12,T MC CT,2609128.9999999995,0.207
12,T MC CN,2609129.0,0.23800000000000002
12,IT1 MI_IDX MI,30725458.207913797,0.219
12,IT2 MI_IDX MI,30725458.207913797,0.19799999999999998
12,MC MI_IDX MI,334038453.94112694,0.243
12,IT1 MC MI,92102477.77275825,0.259
12,MC CT MI,92102477.77275825,0.24000000000000002
12,CN MC MI,92102477.77275825,0.27
12,IT2 MC MI_IDX,6235545.218141137,0.19
12,MC CT MI_IDX,6235545.218141137,0.208
12,CN MC MI_IDX,6235545.218141137,0.237
12,CN MC CT,2609129.0,0.223
12,T MI MI_IDX IT1,30725458.2079138,0.383
12,T MI MI_IDX IT2,30725458.2079138,0.31
12,T MI MI_IDX MC,334038453.94112694,0.289
12,T MI IT1 MC,92102477.77275825,0.415
12,T MI MC CT,92102477.77275825,0.373
12,T MI MC CN,92102477.77275825,0.40700000000000003
12,T MI_IDX IT2 MC,6235545.218141137,0.297
12,T MI_IDX MC CT,6235545.218141137,0.323
12,T MI_IDX MC CN,6235545.218141137,0.35300000000000004
12,T MC CT CN,2609129.0,0.313
12,MI MI_IDX IT1 IT2,30725458.207913797,0.312
12,MI MI_IDX IT1 MC,334038453.94112694,0.312
12,MI MI_IDX IT2 MC,334038453.94112694,0.33599999999999997
12,MI MI_IDX MC CT,334038453.94112694,0.364
12,MI MI_IDX MC CN,334038453.94112694,0.38699999999999996
12,MI IT1 MC CT,92102477.77275825,0.372
12,MI IT1 MC CN,92102477.77275825,0.408
12,MI MC CT CN,92102477.77275825,0.352
12,MI_IDX IT2 MC CT,6235545.218141137,0.312
12,MI_IDX IT2 MC CN,6235545.218141137,0.33599999999999997
12,MI_IDX MC CT CN,6235545.218141137,0.308
12,T MI MI_IDX IT1 IT2,30725458.2079138,0.464
12,T MI MI_IDX IT1 MC,334038453.94112694,0.46099999999999997
12,T MI MI_IDX IT2 MC,334038453.94112694,0.388
12,T MI MI_IDX MC CT,334038453.94112694,0.412
12,T MI MI_IDX MC CN,334038453.94112694,0.444
12,T MI IT1 MC CT,92102477.77275825,0.526
12,T MI IT1 MC CN,92102477.77275825,0.55
12,T MI MC CT CN,92102477.77275825,0.474
12,T MI_IDX IT2 MC CT,6235545.218141137,0.406
12,T MI_IDX IT2 MC CN,6235545.218141137,0.429
12,T MI_IDX MC CT CN,6235545.218141137,0.421
12,MI MI_IDX IT1 IT2 MC,334038453.94112694,0.408
12,MI MI_IDX IT1 MC CT,334038453.94112694,0.434
12,MI MI_IDX IT1 MC CN,334038453.94112694,0.47300000000000003
12,MI MI_IDX IT2 MC CT,334038453.94112694,0.441
12,MI MI_IDX IT2 MC CN,334038453.94112694,0.46299999999999997
12,MI MI_IDX MC CT CN,334038453.94112694,0.46099999999999997
12,MI IT1 MC CT CN,92102477.77275825,0.47300000000000003
12,MI_IDX IT2 MC CT CN,6235545.218141137,0.41
12,T MI MI_IDX IT1 IT2 MC,334038453.94112694,0.5469999999999999
12,T MI MI_IDX IT1 MC CT,334038453.94112694,0.5670000000000001
12,T MI MI_IDX IT1 MC CN,334038453.94112694,0.599
12,T MI MI_IDX IT2 MC CT,334038453.94112694,0.49799999999999994
12,T MI MI_IDX IT2 MC CN,334038453.94112694,0.523
12,T MI MI_IDX MC CT CN,334038453.94112694,0.514
12,T MI IT1 MC CT CN,92102477.77275825,0.633
12,T MI_IDX IT2 MC CT CN,6235545.218141137,0.51
12,MI MI_IDX IT1 IT2 MC CT,334038453.94112694,0.519
12,MI MI_IDX IT1 IT2 MC CN,334038453.94112694,0.554
12,MI MI_IDX IT1 MC CT CN,334038453.94112694,0.539
12,MI MI_IDX IT2 MC CT CN,334038453.94112694,0.5479999999999999
12,T MI MI_IDX IT1 IT2 MC CT,334038453.94112694,0.65
12,T MI MI_IDX IT1 IT2 MC CN,334038453.94112694,0.6769999999999999
12,T MI MI_IDX IT1 MC CT CN,334038453.94112694,0.6679999999999999
12,T MI MI_IDX IT2 MC CT CN,334038453.94112694,0.599
12,MI MI_IDX IT1 IT2 MC CT CN,334038453.94112694,0.624
12,T MI MI_IDX IT1 IT2 MC CT CN,334038453.94112694,0.75
13,T MI,14835720.0,0.186
13,IT2 MI,14835720.0,0.13699999999999998
13,MC MI,92102477.77275825,0.17
13,MIIDX MI,30725458.2079138,0.14300000000000002
13,T KT,2528312.0,0.115
13,T MC,2609129.0,0.132
13,T MIIDX,1380035.0,0.112
13,CN MC,2609129.0,0.136
13,MC CT,2609129.0,0.11299999999999999
13,MC MIIDX,6235545.218141137,0.13799999999999998
13,IT MIIDX,1380035.0,0.112
13,T IT2 MI,14835720.0,0.237
13,T KT MI,14835720.0,0.207
13,T MC MI,92102477.77275825,0.251
13,T MIIDX MI,30725458.2079138,0.217
13,IT2 MC MI,92102477.77275825,0.252
13,IT2 MIIDX MI,30725458.207913797,0.22
13,CN MC MI,92102477.77275825,0.27
13,MC CT MI,92102477.77275825,0.242
13,MC MIIDX MI,334038453.94112694,0.25
13,IT MIIDX MI,30725458.207913797,0.211
13,T MC KT,2609129.0,0.192
13,T KT MIIDX,1380035.0,0.16799999999999998
13,T MC CN,2609129.0,0.242
13,T MC CT,2609128.9999999995,0.20900000000000002
13,T MC MIIDX,6235545.218141137,0.202
13,T MIIDX IT,1380035.0,0.16899999999999998
13,CN MC CT,2609129.0,0.225
13,CN MC MIIDX,6235545.218141137,0.23900000000000002
13,MC MIIDX CT,6235545.218141137,0.21000000000000002
13,IT MC MIIDX,6235545.218141137,0.191
13,T IT2 KT MI,14835720.0,0.364
13,T IT2 MC MI,92102477.77275825,0.414
13,T IT2 MIIDX MI,30725458.2079138,0.376
13,T MC KT MI,92102477.77275825,0.317
13,T KT MIIDX MI,30725458.2079138,0.273
13,T MC CN MI,92102477.77275825,0.40499999999999997
13,T MC CT MI,92102477.77275825,0.371
13,T MC MIIDX MI,334038453.94112694,0.28800000000000003
13,T IT MIIDX MI,30725458.2079138,0.309
13,CN IT2 MC MI,92102477.77275825,0.433
13,IT2 MC CT MI,92102477.77275825,0.399
13,IT2 MC MIIDX MI,334038453.94112694,0.311
13,IT IT2 MIIDX MI,30725458.207913797,0.35300000000000004
