QueryID,Tables,safebound_Estimate,safebound_InferenceTime
61,MI_IDX CI MK,438622123.29793966,0.6859999999999999
61,T MI MI_IDX CI,83574790.20576264,0.958
61,T MI MI_IDX MK,27812897.62666552,0.9779999999999999
61,T MI CI MK,4445375668.348722,0.867
61,T MI_IDX CI MK,438622123.29793966,0.739
61,MI MI_IDX CI MK,4445375668.348722,1.108
61,T MI MI_IDX CI MK,4445375668.348722,1.163
62,T MI,1533909.0,1.395
62,MI_IDX T,311178.7176,0.766
62,T CI,19558217.000000004,0.558
62,MK T,1801372.0000000005,0.696
62,MI_IDX MI,1533909.0,0.7200000000000001
62,MI CI,83574790.20576264,0.5419999999999999
62,MK MI,27812897.62666552,0.594
62,MI_IDX CI,20200237.54669576,0.425
62,MI_IDX MK,4523930.0,0.442
62,MK CI,438622123.29793966,0.285
62,T MI MI_IDX,1313786.8704,2.255
62,T MI CI,75307027.6756037,2.005
62,T MI MK,15698451.999999994,2.085
62,T MI_IDX CI,14005862.462338408,1.2489999999999999
62,T MI_IDX MK,1801372.0000000005,1.3290000000000002
62,T CI MK,253279961.1236913,1.121
62,MI MI_IDX CI,83574790.20576264,0.966
62,MI MI_IDX MK,27812897.62666552,0.945
62,MI CI MK,4445375668.348722,0.782
62,MI_IDX CI MK,438622123.29793966,0.69
62,T MI MI_IDX CI,68981724.98376907,2.564
62,T MI MI_IDX MK,15698451.999999994,2.5959999999999996
62,T MI CI MK,3530465035.007259,2.419
62,T MI_IDX CI MK,253279961.1236913,1.709
62,MI MI_IDX CI MK,4445375668.348722,1.101
62,T MI MI_IDX CI MK,3530465035.007259,3.3089999999999997
63,T MK,2886713.796853456,1.459
63,T CI,10396785.999999998,1.3619999999999999
63,T MI_IDX,459925.0,1.247
63,MK CI,438622123.29793966,0.28800000000000003
63,MK MI_IDX,4523930.0,0.495
63,CI MI_IDX,20200237.54669576,0.446
63,T MK CI,283791830.51797575,2.6359999999999997
63,T MK MI_IDX,2886713.796853456,2.3600000000000003
63,T CI MI_IDX,10396785.999999998,2.181
63,MK CI MI_IDX,438622123.29793966,0.637
63,T MK CI MI_IDX,283791830.51797575,3.4290000000000003
64,T MK,1801372.0000000005,1.653
64,T CI,10396785.999999998,1.406
64,T MI_IDX,459925.0,1.185
64,MK CI,438622123.29793966,0.289
64,MK MI_IDX,4523930.0,0.5429999999999999
64,CI MI_IDX,20200237.54669576,0.47300000000000003
64,T MK CI,227143689.00000003,2.604
64,T MK MI_IDX,1801372.0000000005,2.491
64,T CI MI_IDX,10396785.999999998,2.219
64,MK CI MI_IDX,438622123.29793966,0.6970000000000001
64,T MK CI MI_IDX,227143689.00000003,3.401
65,T MK,10545.0,1.184
65,T MC,39399.00000000001,1.0839999999999999
65,T MI,296517.0,0.892
65,MK MC,166059.00000000003,0.8
65,MK MI,3136449.701556041,0.513
65,MC MI,45068081.20896321,0.54
65,T MK MC,97973.19384484083,1.974
65,T MK MI,605733.0000000002,1.777
65,T MC MI,2733824.532922483,1.691
65,MK MC MI,63147285.96531304,1.0510000000000002
65,T MK MC MI,13488880.369760703,2.432
66,T MI,1325360.9999999998,1.213
66,MK T,2946979.000000001,0.6679999999999999
66,MI_IDX T,459925.0,0.7060000000000001
66,T MC,1603462.0,0.51
66,MK MI,23977923.397870205,0.6759999999999999
66,MI_IDX MI,1325361.0,0.766
66,MI MC,6965794.670730757,0.539
66,MI_IDX MK,4523930.0,0.447
66,MK MC,55519141.22824458,0.26699999999999996
66,MI_IDX MC,1778711.5894096042,0.424
66,T MI MK,18025597.70841902,1.817
66,T MI MI_IDX,1325360.9999999998,1.745
66,T MI MC,5877673.23168355,1.66
66,T MK MI_IDX,2946979.000000001,1.307
66,T MK MC,39853307.29538627,1.1119999999999999
66,T MI_IDX MC,1413820.7331774067,1.139
66,MI MK MI_IDX,23977923.397870205,1.0050000000000001
66,MI MK MC,509879451.7011238,0.843
66,MI MI_IDX MC,6965794.670730757,0.876
66,MK MI_IDX MC,55519141.22824458,0.603
66,T MI MK MI_IDX,18025597.70841902,2.56
66,T MI MK MC,428588827.56955945,2.157
66,T MI MI_IDX MC,5877673.23168355,2.275
66,T MK MI_IDX MC,39853307.29538627,1.6509999999999998
66,MI MK MI_IDX MC,509879451.7011238,1.166
66,T MI MK MI_IDX MC,428588827.56955945,2.7
67,T MI,1325360.9999999998,1.3079999999999998
67,MK T,1801372.0000000005,0.721
67,MI_IDX T,459925.0,0.7739999999999999
67,T MC,1107987.0,0.605
67,MK MI,23977923.397870205,0.623
67,MI_IDX MI,1325361.0,0.717
67,MI MC,6965794.670730757,0.535
67,MI_IDX MK,4523930.0,0.446
67,MK MC,55519141.22824458,0.26699999999999996
67,MI_IDX MC,1778711.5894096042,0.484
67,T MI MK,13718088.000000002,2.077
67,T MI MI_IDX,1325360.9999999998,1.99
67,T MI MC,5107210.031093456,1.8940000000000001
67,T MK MI_IDX,1801372.0000000005,1.305
67,T MK MC,32358764.498550504,1.262
67,T MI_IDX MC,1107987.0,1.199
67,MI MK MI_IDX,23977923.397870205,0.9430000000000001
67,MI MK MC,509879451.7011238,0.78
67,MI MI_IDX MC,6965794.670730757,0.88
67,MK MI_IDX MC,55519141.22824458,0.602
67,T MI MK MI_IDX,13718088.000000002,2.507
67,T MI MK MC,381600667.0696744,2.35
67,T MI MI_IDX MC,5107210.031093456,2.439
67,T MK MI_IDX MC,32358764.498550504,1.761
67,MI MK MI_IDX MC,509879451.7011238,1.073
67,T MI MK MI_IDX MC,381600667.0696744,2.953
68,T MI,3036718.9999999977,1.692
68,T MC,1107987.0,0.796
68,T CI,7451973.000000004,1.4909999999999999
68,MK T,838.0,1.254
68,MI MC,17723117.97481023,0.64
68,MI CI,41836275.99999999,0.98
68,MK MI,74206.0,0.7919999999999999
68,CI MC,36797048.23339826,0.594
68,MK MC,49143.01014729952,0.41800000000000004
68,MK CI,146072.0,0.749
68,T MI MC,13518952.233379692,2.472
68,T MI CI,41836275.99999998,3.166
68,T MI MK,74206.00000000003,2.417
68,T MC CI,25907547.33165548,2.185
68,T MC MK,45550.353233162525,1.643
68,T CI MK,146072.0,2.2529999999999997
68,MI MC CI,740432421.6921067,1.156
68,MI MC MK,4663978.029459902,0.9079999999999999
68,MI CI MK,15072128.0,1.22
68,MC CI MK,10504244.545335516,0.853
68,T MI MC CI,670886727.8247766,3.769
68,T MI MC MK,4298993.801616919,2.872
68,T MI CI MK,15072128.000000006,3.484
68,T MC CI MK,9048915.490485206,2.697
68,MI MC CI MK,1152179560.5924716,1.304
68,T MI MC CI MK,980891173.6829244,3.952
69,T MI,2039208.9999999995,1.951
69,T MC,527873.0000000001,0.896
69,T CI,6440642.0,1.52
69,MK T,838.0,1.288
